Price,Bedroom,Space,Room,Lot,Tax,Bathroom,Garage,Condition,YearBuilt,Location
53.0,2.0,967.0,5.0,39.0,652.0,1.5,0.0,0.0,1995.0,Chicago
53.0,2.0,967.0,5.0,39.0,652.0,1.5,0.0,0.0,2002.0,Chicago
53.0,2.0,636.0,6.0,30.0,553.0,1.0,2.0,1.0,1995.0,Chicago
53.0,2.0,636.0,6.0,30.0,553.0,1.0,2.0,1.0,2002.0,Chicago
53.0,3.0,673.0,6.0,30.0,589.0,1.0,2.0,1.0,1995.0,Chicago
53.0,3.0,673.0,6.0,30.0,589.0,1.0,2.0,1.0,2002.0,Chicago
53.0,3.0,716.0,6.0,30.0,585.0,1.0,2.0,1.0,1995.0,Chicago
53.0,3.0,716.0,6.0,30.0,585.0,1.0,2.0,1.0,2002.0,Chicago
55.0,2.0,0.0,5.0,33.0,1000.0,1.0,2.0,1.0,2001.0,Chicago
55.0,2.0,0.0,5.0,33.0,1000.0,1.0,2.0,1.0,2007.0,Chicago
55.0,5.0,1255.0,8.0,50.0,1278.0,1.5,0.0,0.0,2001.0,Chicago
55.0,5.0,1255.0,8.0,50.0,1278.0,1.5,0.0,0.0,2007.0,Chicago
55.0,3.0,1379.0,8.0,50.0,1309.0,1.5,0.0,0.0,2001.0,Chicago
55.0,3.0,1379.0,8.0,50.0,1309.0,1.5,0.0,0.0,2007.0,Chicago
55.0,3.0,1035.0,6.0,24.0,938.0,1.5,2.0,0.0,2001.0,Chicago
55.0,3.0,1035.0,6.0,24.0,938.0,1.5,2.0,0.0,2007.0,Chicago
55.0,1.0,978.0,5.0,39.0,653.0,1.5,0.0,0.0,2001.0,Chicago
55.0,1.0,978.0,5.0,39.0,653.0,1.5,0.0,0.0,2007.0,Chicago
55.0,3.0,1012.0,6.0,24.0,984.0,1.5,2.0,0.0,2001.0,Chicago
55.0,3.0,1012.0,6.0,24.0,984.0,1.5,2.0,0.0,2007.0,Chicago
55.0,3.0,1438.0,8.0,50.0,1294.0,1.5,0.0,0.0,2001.0,Chicago
55.0,3.0,1438.0,8.0,50.0,1294.0,1.5,0.0,0.0,2007.0,Chicago
56.0,3.0,900.0,5.0,35.0,897.0,1.5,1.0,0.0,1998.0,Chicago
56.0,3.0,900.0,5.0,35.0,897.0,1.5,1.0,0.0,2007.0,Chicago
56.0,3.0,900.0,5.0,35.0,897.0,1.5,1.0,0.0,2001.0,Chicago
56.0,4.0,1325.0,8.0,50.0,1287.0,1.5,0.0,0.0,1998.0,Chicago
56.0,4.0,1325.0,8.0,50.0,1287.0,1.5,0.0,0.0,2007.0,Chicago
56.0,4.0,1325.0,8.0,50.0,1287.0,1.5,0.0,0.0,2001.0,Chicago
56.0,3.0,1049.0,6.0,24.0,982.0,1.5,2.0,0.0,1998.0,Chicago
56.0,3.0,1049.0,6.0,24.0,982.0,1.5,2.0,0.0,2007.0,Chicago
56.0,3.0,1049.0,6.0,24.0,982.0,1.5,2.0,0.0,2001.0,Chicago
56.0,3.0,939.0,5.0,35.0,867.0,1.5,1.0,0.0,1998.0,Chicago
56.0,3.0,939.0,5.0,35.0,867.0,1.5,1.0,0.0,2007.0,Chicago
56.0,3.0,939.0,5.0,35.0,867.0,1.5,1.0,0.0,2001.0,Chicago
58.0,3.0,1007.0,6.0,24.0,964.0,1.5,2.0,0.0,2003.0,Chicago
58.0,3.0,1007.0,6.0,24.0,964.0,1.5,2.0,0.0,1999.0,Chicago
58.0,3.0,1007.0,6.0,24.0,964.0,1.5,2.0,0.0,2001.0,Chicago
58.0,1.0,799.0,5.0,33.0,1025.0,1.0,2.0,1.0,2003.0,Chicago
58.0,1.0,799.0,5.0,33.0,1025.0,1.0,2.0,1.0,1999.0,Chicago
58.0,1.0,799.0,5.0,33.0,1025.0,1.0,2.0,1.0,2001.0,Chicago
58.0,2.0,943.0,5.0,35.0,904.0,1.5,1.0,0.0,2003.0,Chicago
58.0,2.0,943.0,5.0,35.0,904.0,1.5,1.0,0.0,1999.0,Chicago
58.0,2.0,943.0,5.0,35.0,904.0,1.5,1.0,0.0,2001.0,Chicago
58.0,4.0,1382.0,8.0,50.0,1267.0,1.5,0.0,0.0,2003.0,Chicago
58.0,4.0,1382.0,8.0,50.0,1267.0,1.5,0.0,0.0,1999.0,Chicago
58.0,4.0,1382.0,8.0,50.0,1267.0,1.5,0.0,0.0,2001.0,Chicago
58.0,2.0,942.0,5.0,35.0,880.0,1.5,1.0,0.0,2003.0,Chicago
58.0,2.0,942.0,5.0,35.0,880.0,1.5,1.0,0.0,1999.0,Chicago
58.0,2.0,942.0,5.0,35.0,880.0,1.5,1.0,0.0,2001.0,Chicago
64.0,3.0,1100.0,7.0,50.0,1099.0,1.5,1.5,0.0,2005.0,Chicago
64.0,3.0,1100.0,7.0,50.0,1099.0,1.5,1.5,0.0,2003.0,Chicago
64.0,3.0,1100.0,7.0,50.0,1099.0,1.5,1.5,0.0,2001.0,Chicago
64.0,3.0,1100.0,7.0,50.0,1099.0,1.5,1.5,0.0,2002.0,Chicago
64.0,4.0,1226.0,8.0,37.0,0.0,2.0,2.0,0.0,2005.0,Chicago
64.0,4.0,1226.0,8.0,37.0,0.0,2.0,2.0,0.0,2003.0,Chicago
64.0,4.0,1226.0,8.0,37.0,0.0,2.0,2.0,0.0,2001.0,Chicago
64.0,4.0,1226.0,8.0,37.0,0.0,2.0,2.0,0.0,2002.0,Chicago
64.0,2.0,1104.0,7.0,30.0,722.0,2.0,0.0,1.0,2005.0,Chicago
64.0,2.0,1104.0,7.0,30.0,722.0,2.0,0.0,1.0,2003.0,Chicago
64.0,2.0,1104.0,7.0,30.0,722.0,2.0,0.0,1.0,2001.0,Chicago
64.0,2.0,1104.0,7.0,30.0,722.0,2.0,0.0,1.0,2002.0,Chicago
64.0,2.0,898.0,5.0,30.0,1394.0,1.0,1.0,0.0,2005.0,Chicago
64.0,2.0,898.0,5.0,30.0,1394.0,1.0,1.0,0.0,2003.0,Chicago
64.0,2.0,898.0,5.0,30.0,1394.0,1.0,1.0,0.0,2001.0,Chicago
64.0,2.0,898.0,5.0,30.0,1394.0,1.0,1.0,0.0,2002.0,Chicago
64.0,3.0,1022.0,6.0,24.0,980.0,1.5,2.0,0.0,2005.0,Chicago
64.0,3.0,1022.0,6.0,24.0,980.0,1.5,2.0,0.0,2003.0,Chicago
64.0,3.0,1022.0,6.0,24.0,980.0,1.5,2.0,0.0,2001.0,Chicago
64.0,3.0,1022.0,6.0,24.0,980.0,1.5,2.0,0.0,2002.0,Chicago
64.0,2.0,1114.0,7.0,30.0,746.0,2.0,0.0,1.0,2005.0,Chicago
64.0,2.0,1114.0,7.0,30.0,746.0,2.0,0.0,1.0,2003.0,Chicago
64.0,2.0,1114.0,7.0,30.0,746.0,2.0,0.0,1.0,2001.0,Chicago
64.0,2.0,1114.0,7.0,30.0,746.0,2.0,0.0,1.0,2002.0,Chicago
44.0,4.0,897.0,7.0,25.0,960.0,2.0,1.0,0.0,1999.0,Chicago
44.0,4.0,897.0,7.0,25.0,960.0,2.0,1.0,0.0,2002.0,Chicago
44.0,4.0,897.0,7.0,25.0,960.0,2.0,1.0,0.0,1997.0,Chicago
44.0,4.0,897.0,7.0,25.0,960.0,2.0,1.0,0.0,2005.0,Chicago
44.0,4.0,880.0,7.0,25.0,965.0,2.0,1.0,0.0,1999.0,Chicago
44.0,4.0,880.0,7.0,25.0,965.0,2.0,1.0,0.0,2002.0,Chicago
44.0,4.0,880.0,7.0,25.0,965.0,2.0,1.0,0.0,1997.0,Chicago
44.0,4.0,880.0,7.0,25.0,965.0,2.0,1.0,0.0,2005.0,Chicago
44.0,3.0,579.0,5.0,0.0,753.0,1.0,0.0,0.0,1999.0,Chicago
44.0,3.0,579.0,5.0,0.0,753.0,1.0,0.0,0.0,2002.0,Chicago
44.0,3.0,579.0,5.0,0.0,753.0,1.0,0.0,0.0,1997.0,Chicago
44.0,3.0,579.0,5.0,0.0,753.0,1.0,0.0,0.0,2005.0,Chicago
44.0,3.0,590.0,5.0,25.0,874.0,1.0,0.0,0.0,1999.0,Chicago
44.0,3.0,590.0,5.0,25.0,874.0,1.0,0.0,0.0,2002.0,Chicago
44.0,3.0,590.0,5.0,25.0,874.0,1.0,0.0,0.0,1997.0,Chicago
44.0,3.0,590.0,5.0,25.0,874.0,1.0,0.0,0.0,2005.0,Chicago
44.0,3.0,914.0,6.0,25.0,544.0,1.0,0.0,0.0,1999.0,Chicago
44.0,3.0,914.0,6.0,25.0,544.0,1.0,0.0,0.0,2002.0,Chicago
44.0,3.0,914.0,6.0,25.0,544.0,1.0,0.0,0.0,1997.0,Chicago
44.0,3.0,914.0,6.0,25.0,544.0,1.0,0.0,0.0,2005.0,Chicago
44.0,3.0,1053.0,7.0,30.0,717.0,1.5,0.0,0.0,1999.0,Chicago
44.0,3.0,1053.0,7.0,30.0,717.0,1.5,0.0,0.0,2002.0,Chicago
44.0,3.0,1053.0,7.0,30.0,717.0,1.5,0.0,0.0,1997.0,Chicago
44.0,3.0,1053.0,7.0,30.0,717.0,1.5,0.0,0.0,2005.0,Chicago
44.0,2.0,705.0,4.0,0.0,0.0,2.0,1.0,0.0,1999.0,Chicago
44.0,2.0,705.0,4.0,0.0,0.0,2.0,1.0,0.0,2002.0,Chicago
44.0,2.0,705.0,4.0,0.0,0.0,2.0,1.0,0.0,1997.0,Chicago
44.0,2.0,705.0,4.0,0.0,0.0,2.0,1.0,0.0,2005.0,Chicago
44.0,3.0,820.0,5.0,27.0,0.0,1.0,0.0,1.0,1999.0,Chicago
44.0,3.0,820.0,5.0,27.0,0.0,1.0,0.0,1.0,2002.0,Chicago
44.0,3.0,820.0,5.0,27.0,0.0,1.0,0.0,1.0,1997.0,Chicago
44.0,3.0,820.0,5.0,27.0,0.0,1.0,0.0,1.0,2005.0,Chicago
49.0,5.0,1400.0,8.0,0.0,678.0,1.0,1.0,1.0,2008.0,Chicago
49.0,5.0,1400.0,8.0,0.0,678.0,1.0,1.0,1.0,2004.0,Chicago
49.0,5.0,1400.0,8.0,0.0,678.0,1.0,1.0,1.0,2010.0,Chicago
49.0,5.0,1400.0,8.0,0.0,678.0,1.0,1.0,1.0,2005.0,Chicago
49.0,5.0,1400.0,8.0,0.0,678.0,1.0,1.0,1.0,2000.0,Chicago
49.0,4.0,1043.0,7.0,30.0,676.0,1.5,0.0,0.0,2008.0,Chicago
