Price,Bedroom,Space,Room,Lot,Tax,Bathroom,Garage,Condition
53.0,2.0,967.0,5.0,39.0,652.0,1.5,0.0,0.0
55.0,2.0,0.0,5.0,33.0,1000.0,1.0,2.0,1.0
56.0,3.0,900.0,5.0,35.0,897.0,1.5,1.0,0.0
58.0,3.0,1007.0,6.0,24.0,964.0,1.5,2.0,0.0
64.0,3.0,1100.0,7.0,50.0,1099.0,1.5,1.5,0.0
44.0,4.0,897.0,7.0,25.0,960.0,2.0,1.0,0.0
49.0,5.0,1400.0,8.0,0.0,678.0,1.0,1.0,1.0
70.0,3.0,2261.0,6.0,29.0,2700.0,1.0,2.0,0.0
72.0,4.0,1290.0,8.0,0.0,800.0,1.5,1.5,0.0
82.0,4.0,2104.0,9.0,40.0,1038.0,2.5,1.0,1.0
85.0,8.0,2240.0,12.0,50.0,1200.0,3.0,2.0,0.0
45.0,2.0,641.0,5.0,25.0,860.0,1.0,0.0,0.0
47.0,3.0,862.0,6.0,25.0,600.0,1.0,0.0,0.0
49.0,4.0,1043.0,7.0,30.0,676.0,1.5,0.0,0.0
56.0,4.0,1325.0,8.0,50.0,1287.0,1.5,0.0,0.0
60.0,2.0,782.0,5.0,25.0,834.0,1.0,0.0,0.0
62.0,3.0,1126.0,7.0,30.0,734.0,2.0,0.0,1.0
64.0,4.0,1226.0,8.0,37.0,0.0,2.0,2.0,0.0
66.0,2.0,929.0,5.0,30.0,1355.0,1.0,1.0,0.0
35.0,4.0,1137.0,7.0,25.0,561.0,1.5,0.0,0.0
38.0,3.0,743.0,6.0,25.0,489.0,1.0,0.0,0.0
43.0,3.0,596.0,5.0,50.0,0.0,1.0,0.0,0.0
46.0,2.0,803.0,5.0,27.0,774.0,1.0,0.0,1.0
46.0,2.0,696.0,4.0,30.0,440.0,2.0,1.0,0.0
50.0,2.0,691.0,6.0,30.0,549.0,1.0,2.0,1.0
65.0,3.0,1023.0,7.0,30.0,900.0,2.0,1.0,0.0
54.0,1.0,964.0,5.0,39.0,621.0,1.5,0.0,0.0
58.0,1.0,799.0,5.0,33.0,1025.0,1.0,2.0,1.0
58.0,2.0,943.0,5.0,35.0,904.0,1.5,1.0,0.0
