price,bedroom,space,room,lot,tax,bathroom,garage,condition,yearbuilt,location
46,2,696,4,30,440,2.0,1.0,0,2002,Chicago
46,2,696,4,30,440,2.0,1.0,0,2005,Chicago
46,2,696,4,30,440,2.0,1.0,0,1997,Chicago
60,2,828,5,35,913,1.5,1.0,0,1999,Chicago
60,2,828,5,35,913,1.5,1.0,0,1995,Chicago
62,4,951,7,30,895,2.0,1.0,0,2003,Chicago
62,4,951,7,30,895,2.0,1.0,0,2001,Chicago
46,2,856,5,27,745,1.0,0.0,1,2002,Chicago
46,2,856,5,27,745,1.0,0.0,1,2005,Chicago
46,2,856,5,27,745,1.0,0.0,1,1997,Chicago
57,5,1198,8,50,1244,1.5,0.0,0,2004,Chicago
47,2,766,4,30,418,2.0,1.0,0,2003,Chicago
47,2,766,4,30,418,2.0,1.0,0,2000,Chicago
63,2,933,5,30,1431,1.0,1.0,0,1995,Chicago
63,2,933,5,30,1431,1.0,1.0,0,2005,Chicago
85,8,2240,12,50,1200,3.0,2.0,0,1998,Chicago
85,8,2240,12,50,1200,3.0,2.0,0,2005,Chicago
56,3,939,5,35,867,1.5,1.0,0,2007,Chicago
56,3,939,5,35,867,1.5,1.0,0,2001,Chicago
56,3,939,5,35,867,1.5,1.0,0,1995,Chicago
56,3,939,5,35,867,1.5,1.0,0,1998,Chicago
56,4,1325,8,50,1287,1.5,0.0,0,2007,Chicago
56,4,1325,8,50,1287,1.5,0.0,0,2001,Chicago
56,4,1325,8,50,1287,1.5,0.0,0,1995,Chicago
56,4,1325,8,50,1287,1.5,0.0,0,1998,Chicago
46,2,803,5,27,774,1.0,0.0,1,2002,Chicago
46,2,803,5,27,774,1.0,0.0,1,2005,Chicago
46,2,803,5,27,774,1.0,0.0,1,1997,Chicago
62,3,1124,7,50,1129,1.5,1.5,0,2003,Chicago
62,3,1124,7,50,1129,1.5,1.5,0,2001,Chicago
37,5,1204,7,25,531,1.5,0.0,0,1999,Chicago
49,4,1429,8,30,681,1.0,1.0,1,2004,Chicago
49,4,1429,8,30,681,1.0,1.0,1,2008,Chicago
49,4,1429,8,30,681,1.0,1.0,1,2005,Chicago
49,4,1429,8,30,681,1.0,1.0,1,2000,Chicago
49,4,1429,8,30,681,1.0,1.0,1,2010,Chicago
84,3,2171,9,40,1075,2.5,1.0,1,1998,Chicago
70,2,2196,6,29,2711,1.0,2.0,0,2002,Chicago
70,2,2196,6,29,2711,1.0,2.0,0,2001,Chicago
70,2,2196,6,29,2711,1.0,2.0,0,1995,Chicago
42,2,539,5,50,721,1.0,0.0,0,1997,Chicago
42,2,539,5,50,721,1.0,0.0,0,1998,Chicago
64,3,1100,7,50,1099,1.5,1.5,0,2001,Chicago
64,3,1100,7,50,1099,1.5,1.5,0,2003,Chicago
64,3,1100,7,50,1099,1.5,1.5,0,2005,Chicago
64,3,1100,7,50,1099,1.5,1.5,0,2002,Chicago
39,4,744,6,25,531,1.0,0.0,0,2001,Chicago
39,4,744,6,25,531,1.0,0.0,0,1998,Chicago
66,3,1080,7,50,1127,1.5,1.5,0,2002,Chicago
66,3,1080,7,50,1127,1.5,1.5,0,2004,Chicago
66,3,1080,7,50,1127,1.5,1.5,0,1995,Chicago
66,2,929,5,30,1355,1.0,1.0,0,2002,Chicago
66,2,929,5,30,1355,1.0,1.0,0,2004,Chicago
66,2,929,5,30,1355,1.0,1.0,0,1995,Chicago
64,2,1104,7,30,722,2.0,0.0,1,2001,Chicago
64,2,1104,7,30,722,2.0,0.0,1,2003,Chicago
64,2,1104,7,30,722,2.0,0.0,1,2005,Chicago
64,2,1104,7,30,722,2.0,0.0,1,2002,Chicago
35,5,1142,7,25,543,1.5,0.0,0,1999,Chicago
56,2,967,5,39,652,1.5,0.0,0,2007,Chicago
56,2,967,5,39,652,1.5,0.0,0,2001,Chicago
56,2,967,5,39,652,1.5,0.0,0,1995,Chicago
56,2,967,5,39,652,1.5,0.0,0,1998,Chicago
61,3,1041,6,24,966,1.5,2.0,0,1998,Chicago
61,3,1041,6,24,966,1.5,2.0,0,1995,Chicago
65,2,1107,7,30,722,2.0,0.0,1,2003,Chicago
65,2,1107,7,30,722,2.0,0.0,1,2001,Chicago
65,2,1107,7,30,722,2.0,0.0,1,2000,Chicago
88,8,2278,12,50,1183,3.0,2.0,0,2005,Chicago
46,3,643,5,50,756,1.0,0.0,0,2002,Chicago
46,3,643,5,50,756,1.0,0.0,0,2005,Chicago
46,3,643,5,50,756,1.0,0.0,0,1997,Chicago
59,3,710,5,25,848,1.0,0.0,0,2004,Chicago
59,3,710,5,25,848,1.0,0.0,0,1999,Chicago
59,3,710,5,25,848,1.0,0.0,0,1995,Chicago
62,3,1126,7,30,734,2.0,0.0,1,2003,Chicago
62,3,1126,7,30,734,2.0,0.0,1,2001,Chicago
55,3,1012,6,24,984,1.5,2.0,0,2007,Chicago
55,3,1012,6,24,984,1.5,2.0,0,2001,Chicago
58,3,1007,6,24,964,1.5,2.0,0,2001,Chicago
58,3,1007,6,24,964,1.5,2.0,0,2003,Chicago
36,4,812,6,25,508,1.0,0.0,0,2001,Chicago
65,3,991,7,30,902,2.0,1.0,0,2003,Chicago
65,3,991,7,30,902,2.0,1.0,0,2001,Chicago
65,3,991,7,30,902,2.0,1.0,0,2000,Chicago
60,2,782,5,25,834,1.0,0.0,0,1999,Chicago
60,2,782,5,25,834,1.0,0.0,0,1995,Chicago
70,3,2261,6,29,2700,1.0,2.0,0,2002,Chicago
70,3,2261,6,29,2700,1.0,2.0,0,2001,Chicago
70,3,2261,6,29,2700,1.0,2.0,0,1995,Chicago
53,3,673,6,30,589,1.0,2.0,1,2002,Chicago
44,3,590,5,25,874,1.0,0.0,0,2005,Chicago
44,3,590,5,25,874,1.0,0.0,0,1999,Chicago
44,3,590,5,25,874,1.0,0.0,0,2002,Chicago
44,3,590,5,25,874,1.0,0.0,0,1997,Chicago
47,3,874,6,25,565,1.0,0.0,0,2003,Chicago
47,3,874,6,25,565,1.0,0.0,0,2000,Chicago
44,3,1053,7,30,717,1.5,0.0,0,2005,Chicago
44,3,1053,7,30,717,1.5,0.0,0,1999,Chicago
44,3,1053,7,30,717,1.5,0.0,0,2002,Chicago
44,3,1053,7,30,717,1.5,0.0,0,1997,Chicago
42,3,584,5,25,812,1.0,0.0,0,1997,Chicago
42,3,584,5,25,812,1.0,0.0,0,1998,Chicago
49,4,1043,7,30,676,1.5,0.0,0,2004,Chicago
49,4,1043,7,30,676,1.5,0.0,0,2008,Chicago
49,4,1043,7,30,676,1.5,0.0,0,2005,Chicago
49,4,1043,7,30,676,1.5,0.0,0,2000,Chicago
49,4,1043,7,30,676,1.5,0.0,0,2010,Chicago
55,3,1035,6,24,938,1.5,2.0,0,2007,Chicago
55,3,1035,6,24,938,1.5,2.0,0,2001,Chicago
58,2,942,5,35,880,1.5,1.0,0,2001,Chicago
58,2,942,5,35,880,1.5,1.0,0,2003,Chicago
58,4,1382,8,50,1267,1.5,0.0,0,2001,Chicago
58,4,1382,8,50,1267,1.5,0.0,0,2003,Chicago
64,3,1022,6,24,980,1.5,2.0,0,2001,Chicago
64,3,1022,6,24,980,1.5,2.0,0,2003,Chicago
64,3,1022,6,24,980,1.5,2.0,0,2005,Chicago
64,3,1022,6,24,980,1.5,2.0,0,2002,Chicago
57,3,828,5,33,970,1.0,2.0,1,2004,Chicago
66,3,1053,7,30,867,2.0,1.0,0,2002,Chicago
66,3,1053,7,30,867,2.0,1.0,0,2004,Chicago
66,3,1053,7,30,867,2.0,1.0,0,1995,Chicago
81,5,2170,9,40,1065,2.5,1.0,1,1998,Chicago
50,2,691,6,30,549,1.0,2.0,1,2000,Chicago
50,2,691,6,30,549,1.0,2.0,1,1996,Chicago
50,2,691,6,30,549,1.0,2.0,1,2002,Chicago
61,3,715,5,25,815,1.0,0.0,0,1998,Chicago
61,3,715,5,25,815,1.0,0.0,0,1995,Chicago
47,2,676,5,25,880,1.0,0.0,0,2003,Chicago
47,2,676,5,25,880,1.0,0.0,0,2000,Chicago
44,3,914,6,25,544,1.0,0.0,0,2005,Chicago
44,3,914,6,25,544,1.0,0.0,0,1999,Chicago
44,3,914,6,25,544,1.0,0.0,0,2002,Chicago
44,3,914,6,25,544,1.0,0.0,0,1997,Chicago
66,4,1243,8,37,591,2.0,2.0,0,2002,Chicago
66,4,1243,8,37,591,2.0,2.0,0,2004,Chicago
66,4,1243,8,37,591,2.0,2.0,0,1995,Chicago
43,3,843,5,27,777,1.0,0.0,1,1998,Chicago
51,5,1370,8,30,696,1.0,1.0,1,2010,Chicago
61,1,729,5,33,1054,1.0,2.0,1,1998,Chicago
61,1,729,5,33,1054,1.0,2.0,1,1995,Chicago
58,2,943,5,35,904,1.5,1.0,0,2001,Chicago
58,2,943,5,35,904,1.5,1.0,0,2003,Chicago
