price,bedroom,space,room,lot,tax,bathroom,garage,condition
46,2,696,4,30,440,2.0,1.0,0
60,2,828,5,35,913,1.5,1.0,0
62,4,951,7,30,895,2.0,1.0,0
46,2,856,5,27,745,1.0,0.0,1
57,5,1198,8,50,1244,1.5,0.0,0
47,2,766,4,30,418,2.0,1.0,0
63,2,933,5,30,1431,1.0,1.0,0
85,8,2240,12,50,1200,3.0,2.0,0
73,4,1278,8,33,810,1.5,1.5,0
56,3,939,5,35,867,1.5,1.0,0
90,8,2293,12,50,1181,3.0,2.0,0
56,4,1325,8,50,1287,1.5,0.0,0
46,2,803,5,27,774,1.0,0.0,1
62,3,1124,7,50,1129,1.5,1.5,0
37,5,1204,7,25,531,1.5,0.0,0
49,4,1429,8,30,681,1.0,1.0,1
84,3,2171,9,40,1075,2.5,1.0,1
34,4,1087,7,25,584,1.5,0.0,0
70,2,2196,6,29,2711,1.0,2.0,0
42,2,539,5,50,721,1.0,0.0,0
64,3,1100,7,50,1099,1.5,1.5,0
39,4,744,6,25,531,1.0,0.0,0
66,3,1080,7,50,1127,1.5,1.5,0
66,2,929,5,30,1355,1.0,1.0,0
64,2,1104,7,30,722,2.0,0.0,1
35,5,1142,7,25,543,1.5,0.0,0
80,4,2045,9,40,1045,2.5,1.0,1
56,2,967,5,39,652,1.5,0.0,0
61,3,1041,6,24,966,1.5,2.0,0
65,2,1107,7,30,722,2.0,0.0,1
88,8,2278,12,50,1183,3.0,2.0,0
46,3,643,5,50,756,1.0,0.0,0
59,3,710,5,25,848,1.0,0.0,0
62,3,1126,7,30,734,2.0,0.0,1
55,3,1012,6,24,984,1.5,2.0,0
58,3,1007,6,24,964,1.5,2.0,0
36,4,812,6,25,508,1.0,0.0,0
65,3,991,7,30,902,2.0,1.0,0
60,2,782,5,25,834,1.0,0.0,0
70,3,2261,6,29,2700,1.0,2.0,0
53,3,673,6,30,589,1.0,2.0,1
44,3,590,5,25,874,1.0,0.0,0
47,3,874,6,25,565,1.0,0.0,0
73,3,2287,6,29,2752,1.0,2.0,0
44,3,1053,7,30,717,1.5,0.0,0
42,3,584,5,25,812,1.0,0.0,0
49,4,1043,7,30,676,1.5,0.0,0
55,3,1035,6,24,938,1.5,2.0,0
58,2,942,5,35,880,1.5,1.0,0
58,4,1382,8,50,1267,1.5,0.0,0
64,3,1022,6,24,980,1.5,2.0,0
57,3,828,5,33,970,1.0,2.0,1
66,3,1053,7,30,867,2.0,1.0,0
81,5,2170,9,40,1065,2.5,1.0,1
50,2,691,6,30,549,1.0,2.0,1
61,3,715,5,25,815,1.0,0.0,0
47,2,676,5,25,880,1.0,0.0,0
44,3,914,6,25,544,1.0,0.0,0
66,4,1243,8,37,591,2.0,2.0,0
43,3,843,5,27,777,1.0,0.0,1
51,5,1370,8,30,696,1.0,1.0,1
61,1,729,5,33,1054,1.0,2.0,1
58,2,943,5,35,904,1.5,1.0,0
67,2,901,5,30,1373,1.0,1.0,0
85,3,2240,9,40,1101,2.5,1.0,1
64,2,1114,7,30,746,2.0,0.0,1
63,1,722,5,25,836,1.0,0.0,0
41,4,927,7,25,975,2.0,1.0,0
53,2,636,6,30,553,1.0,2.0,1
82,4,2104,9,40,1038,2.5,1.0,1
50,3,861,6,25,567,1.0,0.0,0
59,3,859,5,33,994,1.0,2.0,1
61,1,785,5,25,817,1.0,0.0,0
47,4,924,6,25,633,1.0,0.0,0
56,3,1049,6,24,982,1.5,2.0,0
45,3,860,7,25,970,2.0,1.0,0
55,5,1255,8,50,1278,1.5,0.0,0
39,2,701,6,25,500,1.0,0.0,0
45,3,581,5,25,821,1.0,0.0,0
72,5,1299,8,33,767,1.5,1.5,0
59,2,848,5,25,814,1.0,0.0,0
58,1,799,5,33,1025,1.0,2.0,1
88,8,2228,12,50,1208,3.0,2.0,0
46,3,855,7,25,948,2.0,1.0,0
47,3,1053,7,30,700,1.5,0.0,0
43,2,593,4,30,465,2.0,1.0,0
